,bh,ts,frequency,Thermal_freq,T_depth,Re,Im,Asympt_Re,Asympt_Im,Amplitude,Phase,V3asympt_Re,V3asympt_Im,V3_Re,V3_Im
0,2e-07,0.00038,0.3,0.6,6936.702708163994,0.16166737544517673,-0.011160714263155569,0.16166759804582398,-0.011160714285665563,0.16205215773374573,-3.9491509024656843,0.00020450951152817254,-1.4118303571342139e-05,0.00020450922993831,-1.411830354292043e-05
1,2e-07,0.00038,1000.3,2000.6,120.12919724707037,0.10403035556464602,-0.01116066568010865,0.1040305730102773,-0.011160714285665563,0.10462731640089941,-6.123429412948015,0.0001315986748586795,-1.4118303571342139e-05,0.0001315983997898229,-1.4118242085303656e-05
2,2e-07,0.00038,2000.3,4000.6,84.95053961035468,0.09910652445978485,-0.011160621637486656,0.09910673675130965,-0.011160714285665563,0.0997329567686196,-6.42514510214888,0.00012537002199053404,-1.4118303571342139e-05,0.00012536975344090706,-1.41181863714257e-05
3,2e-07,0.00038,3000.3,6000.6,69.36355899039054,0.096226001958712,-0.011160579311649599,0.09622620909703983,-0.011160714285665563,0.09687105854465762,-6.615776169576174,0.00012172615450811719,-1.4118303571342139e-05,0.00012172589247771981,-1.4118132829255003e-05
4,2e-07,0.00038,4000.3,8000.6,60.07135500412675,0.09418216580434091,-0.011160538100853046,0.09418236778765277,-0.011160714285665563,0.09484111959624948,-6.758005664633712,0.00011914069525165161,-1.4118303571342139e-05,0.00011914043974226018,-1.411808069762266e-05
5,2e-07,0.00038,5000.3,10000.6,53.72985626111195,0.09259681327785074,-0.01116049771883354,0.09259701010614663,-0.011160714285665563,0.0932669638112485,-6.872587567648837,0.00011713521778400349,-1.4118303571342139e-05,0.0001171349687965062,-1.4118029614373917e-05
6,2e-07,0.00038,6000.3,12000.6,49.04866903877985,0.09130147086307261,-0.011160457997561934,0.09130166253817151,-0.011160714285665563,0.09198105459505763,-6.969115778411278,0.00011549660311072074,-1.4118303571342139e-05,0.00011549636064156488,-1.4117979366901068e-05
7,2e-07,0.00038,7000.3,14000.6,45.41040583539584,0.09020626593246561,-0.011160418825625129,0.09020645245345804,-0.011160714285665563,0.0908940336979079,-7.0528570091714196,0.00011411116235393592,-1.4118303571342139e-05,0.00011411092640489784,-1.4117929814427832e-05
8,2e-07,0.00038,8000.3,16000.6,42.47765888232259,0.08925755105883582,-0.011160380124238145,0.08925773242572177,-0.011160714285665563,0.08995256808775798,-7.127030171047681,0.00011291103151833681,-1.4118303571342139e-05,0.0001129108020894165,-1.411788085714516e-05
9,2e-07,0.00038,9000.3,18000.6,40.04840429062623,0.08842072187326266,-0.01116034183417014,0.08842089808604214,-0.011160714285665563,0.08912226033049464,-7.193753824759386,0.00011185243607858553,-1.4118303571342139e-05,0.000111852213169783,-1.4117832420224019e-05
