,bh,ts,frequency,Thermal_freq,T_depth,Re,Im,Asympt_Re,Asympt_Im,Amplitude,Phase,V3asympt_Re,V3asympt_Im,V3_Re,V3_Im
31,4e-07,0.00038,0.3,0.6,6936.702708163994,0.15181757187201583,-0.011160714200968869,0.1518177944690251,-0.011160714285665563,0.1522272533770509,-4.204477677504367,0.00019204951000340031,-1.4118303571342139e-05,0.00019204922841886685,-1.4118303464205617e-05
32,4e-07,0.00038,1000.3,2000.6,120.12919724707037,0.09418056745380454,-0.01116053806401851,0.09418076943256892,-0.011160714285665563,0.09483953234692916,-6.758119272730989,0.0001191386733321309,-1.4118303571342139e-05,0.00011913841782895673,-1.4118080650993292e-05
33,4e-07,0.00038,2000.3,4000.6,84.95053961035468,0.0892567518112628,-0.01116038008956366,0.08925693317360128,-0.011160714285665563,0.08995177501134649,-7.127093311662993,0.00011291002046487364,-1.4118303571342139e-05,0.0001129097910412824,-1.411788081329135e-05
34,4e-07,0.00038,3000.3,6000.6,69.36355899039054,0.08637624477341888,-0.011160228981793807,0.08637640551933146,-0.011160714285665563,0.0870942384554194,-7.362105489978399,0.00010926615298156861,-1.4118303571342139e-05,0.00010926594963844849,-1.4117689661974353e-05
35,4e-07,0.00038,4000.3,8000.6,60.07135500412675,0.08433242407954822,-0.011160082333731225,0.0843325642090349,-0.011160714285665563,0.08506765066001373,-7.538402158093993,0.00010668069372421485,-1.4118303571342139e-05,0.00010668051646067767,-1.4117504152144633e-05
36,4e-07,0.00038,5000.3,10000.6,53.72985626111195,0.08274708701537747,-0.011159939001572639,0.08274720652843826,-0.011160714285665563,0.08349625529380333,-7.6810232782731696,0.00010467521625834308,-1.4118303571342139e-05,0.00010467506507438884,-1.4117322836959545e-05
37,4e-07,0.00038,6000.3,12000.6,49.04866903877985,0.08145176006109978,-0.011159798312064595,0.08145185896046314,-0.011160714285665563,0.08221271383073081,-7.801584683888649,0.00010303660158506034,-1.4118303571342139e-05,0.00010303647647713632,-1.4117144864767006e-05
38,4e-07,0.00038,7000.3,14000.6,45.41040583539584,0.08035657059190271,-0.011159659820123125,0.08035664887393068,-0.011160714285665563,0.08112777850157282,-7.906480675603507,0.00010165116082561099,-1.4118303571342139e-05,0.00010165106179904626,-1.4116969672461899e-05
39,4e-07,0.00038,8000.3,16000.6,42.47765888232259,0.07940787117877335,-0.011159523209698818,0.0794079288471039,-0.011160714285665563,0.0801881846871296,-7.999628325880517,0.00010045102999178823,-1.4118303571342139e-05,0.00010045095704125373,-1.4116796860252911e-05
40,4e-07,0.00038,9000.3,18000.6,40.04840429062623,0.07857105745461013,-0.011159388244209367,0.07857109450742428,-0.011160714285665563,0.07935958048976198,-8.083610820351664,9.939243455203695e-05,-1.4118303571342139e-05,9.93923876801972e-05,-1.411662612893494e-05
41,4e-07,0.00038,10000.3,20000.6,37.99331558422637,0.07782250144464342,-0.011159254739936841,0.07782251788285066,-0.011160714285665563,0.07861851370668922,-8.160226483040892,9.84454851220562e-05,-1.4118303571342139e-05,9.844546432713486e-05,-1.411645724602728e-05
42,4e-07,0.00038,11000.3,22000.6,36.22525444758742,0.07714535008472012,-0.011159122550111533,0.07714534591013944,-0.011160714285665563,0.07794825883726608,-8.230780345613912,9.758886257671406e-05,-1.4118303571342139e-05,9.758886785693477e-05,-1.4116290025900646e-05
43,4e-07,0.00038,12000.3,24000.6,34.683080005029495,0.07652715958101908,-0.01115899155547595,0.07652713479183149,-0.011160714285665563,0.07733646776331865,-8.296251150987192,9.680682551138631e-05,-1.4118303571342139e-05,9.680685687030177e-05,-1.4116124317675727e-05
44,4e-07,0.00038,13000.3,26000.6,33.322457456915906,0.07595847990342008,-0.011158861655530927,0.07595843450144457,-0.011160714285665563,0.07677376415588752,-8.357392828148855,9.60874196440642e-05,-1.4118303571342139e-05,9.608747707812171e-05,-1.4115959994231986e-05
45,4e-07,0.00038,14000.3,28000.6,32.110349929204105,0.07543196534879826,-0.011158732766375579,0.07543189933312533,-0.011160714285665563,0.07625286036165867,-8.41479915007362,9.542135265672158e-05,-1.4118303571342139e-05,9.542143616592114e-05,-1.4115796949432102e-05
46,4e-07,0.00038,15000.3,30000.6,31.021567376200455,0.07494179269451706,-0.011158604815250328,0.07494170606696571,-0.011160714285665563,0.07576797973902678,-8.468946573075673,9.480125817429297e-05,-1.4118303571342139e-05,9.480136775863457e-05,-1.4115635091238588e-05
47,4e-07,0.00038,16000.3,32000.6,30.03652222777573,0.07448326751637069,-0.011158477739968475,0.07448316027603141,-0.011160714285665563,0.07531446584427667,-8.520223568579109,9.422119774882276e-05,-1.4118303571342139e-05,9.422133340830641e-05,-1.4115474341047651e-05
48,4e-07,0.00038,17000.3,34000.6,29.139722839128407,0.07405255006142397,-0.011158351485278217,0.07405242220920627,-0.011160714285665563,0.07488851032344528,-8.568951270585831,9.367631409507027e-05,-1.4118303571342139e-05,9.36764758279196e-05,-1.4115314628915243e-05
49,4e-07,0.00038,18000.3,36000.6,28.31873423217134,0.07364645959751215,-0.011158226002976335,0.07364631113432552,-0.011160714285665563,0.0744869587161721,-8.615398365621962,9.316258358449403e-05,-1.4118303571342139e-05,9.316277139070905e-05,-1.4115155893779097e-05
50,4e-07,0.00038,19000.3,38000.6,27.563443959634228,0.07326233173262153,-0.01115810125054395,0.07326216265573748,-0.011160714285665563,0.07410716884626217,-8.659792056537706,9.267663575940333e-05,-1.4118303571342139e-05,9.267684964164857e-05,-1.4114998081904417e-05
